时间戳,液位高度(mm)
1773991261.5214057,6.74
1773991262.2294626,6.74
1773991262.8780296,6.74
1773991263.2195587,6.74
1773991263.5472755,6.74
1773991263.869585,6.74
1773991264.2047007,6.74
1773991264.5218134,6.74
1773991264.8427646,6.74
1773991265.171684,6.74
1773991265.4875405,6.74
1773991265.7992074,6.74
1773991266.1012766,6.74
1773991266.4323494,6.74
1773991266.7536528,6.74
1773991267.0629416,6.74
1773991267.373489,6.74
1773991267.7064242,6.74
1773991268.031849,6.74
1773991268.3562944,6.74
1773991268.6989787,6.74
1773991269.011214,6.74
1773991269.3343377,6.74
1773991269.6578114,6.74
1773991269.9684436,6.74
1773991270.3267431,6.74
1773991270.6352746,6.74
1773991271.0072777,6.74
1773991271.3234894,6.74
1773991271.6466568,6.74
1773991271.972907,6.74
1773991272.2822425,6.74
1773991272.6040583,6.74
1773991273.2460265,7.12
1773991273.5726976,7.12
1773991273.904802,7.12
1773991274.214937,7.12
1773991274.515983,7.12
1773991274.823118,7.12
1773991275.1521473,7.12
1773991275.5019915,7.12
1773991275.8314383,7.12
1773991276.1536763,7.12
1773991276.4689121,7.12
1773991276.8142855,7.12
1773991277.1237803,7.12
1773991277.4281664,7.12
1773991277.8606446,7.12
1773991278.2517836,7.12
1773991278.5980515,7.12
1773991278.945151,7.12
1773991279.2473538,7.12
1773991279.6289408,7.12
1773991279.934355,7.12
1773991280.2394092,7.12
1773991280.6039467,7.12
1773991280.9343898,7.12
1773991281.2422857,7.12
1773991281.6068704,7.12
1773991281.961725,7.12
1773991282.2977111,7.12
1773991282.6106203,7.12
1773991282.910205,7.12
1773991283.2184606,7.12
1773991283.5434947,7.12
1773991283.9119797,7.12
1773991284.2292914,7.12
1773991284.55018,7.12
1773991284.9136045,7.12
1773991285.2322924,7.12
1773991285.5622287,7.12
1773991285.8883114,7.12
1773991286.2037117,7.12
1773991286.5226855,7.12
1773991286.8265767,7.12
1773991287.139555,7.12
1773991287.4510157,7.12
1773991287.7788532,7.12
1773991288.086807,7.12
1773991288.395328,7.12
1773991288.71432,7.12
1773991289.0499945,7.12
1773991289.4206328,7.12
1773991289.7348385,7.12
1773991290.0427942,7.12
1773991290.357731,7.12
1773991290.68287,7.12
1773991290.9898207,7.12
1773991291.3024483,7.12
1773991291.6393182,7.12
1773991291.9501772,7.12
1773991292.2701678,7.12
1773991292.586699,7.12
1773991292.8968477,7.12
1773991293.2126718,7.12
1773991293.5409436,7.12
1773991293.8587477,7.12
1773991294.2420385,7.12
1773991294.5631914,7.12
1773991294.8688452,7.12
1773991295.2122226,7.12
1773991295.5277052,7.12
1773991295.8306484,7.12
1773991296.1351595,7.12
1773991296.5265913,7.12
1773991296.829663,7.12
1773991297.1291351,7.12
1773991297.4400852,7.12
1773991297.7585342,7.12
1773991298.0668519,7.12
1773991298.3919947,7.12
1773991298.6957483,7.12
1773991299.0036252,7.12
1773991299.3182235,7.12
1773991299.6618252,7.12
1773991299.9975724,7.12
1773991300.3171287,7.12
1773991300.6720898,7.12
1773991300.9988341,7.12
1773991301.3115056,7.12
1773991301.6590488,7.12
1773991301.9920876,7.12
1773991302.3151982,7.12
1773991302.6353264,7.12
1773991302.9896107,7.12
1773991303.377845,7.12
1773991303.7885437,7.12
1773991304.1362767,7.12
1773991304.5415614,7.12
1773991305.0523834,7.12
1773991305.473816,7.12
1773991305.8109376,7.12
1773991306.171319,7.12
1773991306.557375,7.12
1773991306.9495792,7.12
1773991307.271028,7.12
1773991307.6394699,7.12
1773991307.9797494,7.12
1773991308.315422,7.12
1773991308.7635748,7.12
1773991309.1005898,7.12
1773991309.449998,7.12
1773991309.8063917,7.12
1773991310.204658,7.12
1773991310.5574958,7.12
1773991310.877312,7.12
1773991311.1995008,7.12
1773991311.5540912,7.12
1773991311.8826237,7.12
1773991312.2000864,7.12
1773991312.5076752,7.12
1773991312.8154256,7.12
1773991313.1193097,7.12
1773991313.4405534,7.12
1773991313.780939,7.12
1773991314.1195884,7.12
1773991314.4383419,7.12
1773991314.8158271,7.12
1773991315.1602561,7.12
1773991315.4684362,7.12
1773991315.8351936,7.12
1773991316.1432686,7.12
1773991316.4648356,7.12
1773991316.766939,7.12
1773991317.1024725,7.12
1773991317.4199555,7.12
1773991317.7269616,7.12
1773991318.0360627,7.12
1773991318.3925505,7.12
1773991319.0396008,6.94
1773991319.3872476,6.94
1773991320.1151993,6.94
1773991320.5202541,6.94
1773991320.8518083,6.94
1773991321.205109,6.94
1773991321.5799613,6.94
1773991321.8895671,6.94
1773991322.217419,6.94
1773991322.5672765,6.94
1773991322.8871918,6.94
1773991323.2019954,6.94
1773991323.561891,6.94
1773991323.9138021,6.94
1773991324.249661,6.94
1773991324.6143792,6.94
1773991325.006831,6.94
1773991325.376085,6.94
1773991325.7091134,6.94
1773991326.02866,6.94
1773991326.3332627,6.94
1773991326.6393027,6.94
1773991326.9486928,6.94
1773991327.2832897,6.94
1773991327.6852024,6.94
1773991328.164742,6.94
1773991328.5249043,6.94
1773991328.896444,6.94
1773991329.2565155,6.94
1773991329.922622,11.72
1773991330.2990057,11.72
1773991330.6877236,11.72
1773991331.0320568,11.72
1773991331.3688898,11.72
1773991331.6811342,11.72
1773991332.0231018,11.72
1773991332.368633,11.72
1773991332.6835485,11.72
1773991333.0536213,11.72
1773991333.421295,11.72
1773991333.8056908,11.72
1773991334.1604972,11.72
1773991334.4824398,11.72
1773991334.8089466,11.72
1773991335.4987159,12.01
1773991335.8343809,12.01
1773991336.226516,12.01
1773991336.5705605,12.01
1773991336.954148,12.01
1773991337.3169892,12.01
1773991337.7213902,12.01
1773991338.0809147,12.01
1773991338.4234822,12.01
1773991338.7863355,12.01
1773991339.1048632,12.01
1773991339.4319794,12.01
1773991339.7587793,12.01
1773991340.0770895,12.01
1773991340.462962,12.01
1773991340.8625124,12.01
1773991341.211313,12.01
1773991341.5614018,12.01
1773991341.8871162,12.01
1773991342.2213984,12.01
1773991342.5417297,12.01
1773991342.8499122,12.01
1773991343.2066495,12.01
1773991343.8472912,12.01
1773991344.1756885,12.01
1773991344.5044641,12.01
1773991345.4947999,12.01
1773991345.82367,12.01
1773991346.1526017,12.01
1773991346.4636977,12.01
1773991347.1628604,12.01
1773991347.4631932,12.01
1773991347.7857826,12.01
1773991348.1204393,12.01
1773991348.4712346,12.01
1773991348.7824647,12.01
1773991349.1453803,12.01
1773991349.512397,12.01
1773991349.8392572,12.01
1773991350.1648614,12.01
1773991350.4949393,12.01
1773991350.809145,12.01
1773991351.127663,12.01
1773991351.467866,12.01
1773991351.80288,12.01
1773991352.1833441,12.01
1773991352.526558,12.01
1773991354.2406561,9.14
1773991354.5569532,9.14
1773991354.8798158,9.14
1773991356.111216,7.11
1773991356.4301968,7.11
1773991356.818586,7.11
1773991357.1789489,7.11
1773991357.4888287,7.11
1773991357.8009684,7.11
1773991358.102588,7.11
1773991358.4091375,7.11
1773991358.7166526,7.11
1773991359.01811,7.11
1773991359.3509831,7.11
1773991359.680416,7.11
1773991360.6805134,6.95
1773991361.3181672,6.95
1773991361.665971,6.95
1773991362.0229533,6.95
1773991362.397973,6.95
1773991362.7563636,6.95
1773991363.3922143,6.95
1773991363.7102156,6.95
1773991364.012107,6.95
1773991364.3272984,6.95
1773991364.6534772,6.95
1773991364.9767303,6.95
1773991365.2844627,6.95
1773991365.5942664,6.95
1773991365.9096498,6.95
1773991366.2217355,6.95
1773991366.5385137,6.95
1773991366.8590312,6.95
1773991367.5345426,6.95
1773991367.853927,6.95
1773991368.1638498,6.95
1773991368.5242116,6.95
1773991368.849203,6.95
1773991369.2066882,6.95
1773991369.6077116,6.95
1773991369.93326,6.95
1773991370.240998,6.95
1773991370.550944,6.95
1773991370.8651133,6.95
1773991371.2932475,6.95
1773991371.6601574,6.95
1773991371.975625,6.95
1773991372.2863686,6.95
1773991372.6130803,6.95
1773991372.917501,6.95
1773991373.2520475,6.95
1773991373.5541208,6.95
1773991373.864898,6.95
1773991374.2016842,6.95
1773991374.5323718,6.95
1773991374.861671,6.95
1773991375.1867971,6.95
1773991375.634931,6.95
1773991376.048115,6.95
1773991376.4527824,6.95
1773991376.8243594,6.95
1773991377.199759,6.95
1773991377.5536594,6.95
1773991377.857236,6.95
1773991378.1965425,6.95
1773991378.548057,6.95
1773991378.8883553,6.95
1773991379.2073207,6.95
1773991379.535215,6.95
1773991379.8421729,6.95
1773991380.1860268,6.95
1773991380.5217612,6.95
1773991380.8389785,6.95
1773991381.179355,6.95
1773991381.5432382,6.95
1773991381.8886127,6.95
1773991382.2332182,6.95
